Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Sputnik 8K74PS | Sputnik 1,Launch Successful,Soviet Space Program,Sputnik 8K74PS,Sputnik 1,10/04/1957 7:28 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Sputnik 8K74PS | Sputnik 2,Launch Successful,Soviet Space Program,Sputnik 8K74PS,Sputnik 2,11/03/1957 2:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,12/06/1957 4:44 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Juno-I | Explorer 1,Launch Successful,Army Ballistic Missile Agency,Juno-I,Explorer 1,02/01/1958 3:47 a.m.,"Launch Complex 26A | Cape Canaveral, FL, USA"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,02/05/1958 7:33 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Juno-I | Explorer 2,Launch Failure,Army Ballistic Missile Agency,Juno-I,Explorer 2,03/05/1958 6:27 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA"
Vanguard | Vanguard,Launch Successful,US Navy,Vanguard,Vanguard,03/17/1958 12:15 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Juno-I | Explorer 3,Launch Successful,Army Ballistic Missile Agency,Juno-I,Explorer 3,03/26/1958 5:38 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA"
Sputnik 8A91 | D-1 1,Launch Failure,Soviet Space Program,Sputnik 8A91,D-1 1,04/27/1958 7 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,04/29/1958 2:53 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Sputnik 8A91 | D1- 2,Launch Successful,Soviet Space Program,Sputnik 8A91,D1- 2,05/15/1958 7:12 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,05/28/1958 3:46 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Vanguard | Vanguard,Launch Failure,US Navy,Vanguard,Vanguard,06/26/1958 5 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA"
Project Pilot | NOTS 1,Launch Failure,US Navy,Project Pilot,NOTS 1,07/25/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Juno-I | Explorer 4,Launch Successful,Army Ballistic Missile Agency,Juno-I,Explorer 4,07/26/1958 3 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA"
Project Pilot | NOTS 2,Launch Failure,US Navy,Project Pilot,NOTS 2,08/12/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
Thor Able I | Able I (Pioneer),Launch Failure,Army Ballistic Missile Agency,Thor Able I,Able I (Pioneer),08/17/1958 12:18 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Project Pilot | NOTS 3,Launch Failure,US Navy,Project Pilot,NOTS 3,08/22/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight
